water_system.PWSID,water_system.PWS_NAME,water_system.NPM_CANDIDATE,water_system.PRIMACY_AGENCY_CODE,water_system.EPA_REGION,water_system.SEASON_BEGIN_DATE,water_system.SEASON_END_DATE,water_system.PWS_ACTIVITY_CODE,water_system.PWS_DEACTIVATION_DATE,water_system.PWS_TYPE_CODE,water_system.DBPR_SCHEDULE_CAT_CODE,water_system.CDS_ID,water_system.GW_SW_CODE,water_system.LT2_SCHEDULE_CAT_CODE,water_system.OWNER_TYPE_CODE,water_system.POPULATION_SERVED_COUNT,water_system.POP_CAT_2_CODE,water_system.POP_CAT_3_CODE,water_system.POP_CAT_4_CODE,water_system.POP_CAT_5_CODE,water_system.POP_CAT_11_CODE,water_system.PRIMACY_TYPE,water_system.PRIMARY_SOURCE_CODE,water_system.IS_GRANT_ELIGIBLE_IND,water_system.IS_WHOLESALER_IND,water_system.IS_SCHOOL_OR_DAYCARE_IND,water_system.SERVICE_CONNECTIONS_COUNT,water_system.SUBMISSION_STATUS_CODE,water_system.ORG_NAME,water_system.ADMIN_NAME,water_system.EMAIL_ADDR,water_system.PHONE_NUMBER,water_system.PHONE_EXT_NUMBER,water_system.FAX_NUMBER,water_system.ALT_PHONE_NUMBER,water_system.ADDRESS_LINE1,water_system.ADDRESS_LINE2,water_system.CITY_NAME,water_system.ZIP_CODE,water_system.COUNTRY_CODE,water_system.STATE_CODE,water_system.SOURCE_WATER_PROTECTION_CODE,water_system.SOURCE_PROTECTION_BEGIN_DATE,water_system.OUTSTANDING_PERFORMER,water_system.OUTSTANDING_PERFORM_BEGIN_DATE,water_system.CITIES_SERVED,water_system.COUNTIES_SERVED,
"NH2057060","SCOTTISH HIGHLAND GOLF COURSE","Y","NH","01","04-01","11-30","A","","TNCWS","","","GW","","P","200","1","1","1","1","2","State","GW","Y","N","N","1","Y","TURNERS HOMESTEAD INC /DBA","DONNA ZACHARIAS","","","","","","CAMPBELLS SCOTTISH HIGHLANDS","79 BRADY AVE","SALEM","03079","US","NH","","","","","SALEM","Rockingham"
"NH2059030","DERRY SALEM ELKS LODGE 2226","Y","NH","01","01-01","12-31","A","","TNCWS","","","GW","","P","200","1","1","1","1","2","State","GW","Y","N","N","2","Y","DERRY/SALEM ELKS LODGE 2226","JOANNE BAILLERGEON","","","","","","BOX 130","","SALEM","03079","US","NH","","","","","SALEM","Rockingham"
"NH2065010","SALISBURY ELEMENTARY SCH","Y","NH","01","09-01","06-30","A","","NTNCWS","","","GW","","L","101","1","1","1","1","2","State","GW","Y","N","Y","1","Y","SAU 46","FRED REAGAN","","","","","","105 COMMUNITY DR","","PENACOOK","03303","US","NH","","","","","SALISBURY","Merrimack"
"NH2068020","BARN STORE OF NEW ENGLAND","Y","NH","01","01-01","12-31","A","","TNCWS","","","GW","","P","25","1","1","1","1","1","State","GW","Y","N","N","1","Y","JAMES L MASON 2002 REV TRUST","JAMES MASON","","","","","","96 OLD TURNPIKE RD","","SALISBURY","03268","US","NH","","","","","SALISBURY","Merrimack"
"NH2068030","CROSSROADS COUNTRY STORE","Y","NH","01","01-01","12-31","A","","TNCWS","","","GW","","P","50","1","1","1","1","1","State","GW","Y","N","N","1","Y","CIARADAN LLC","LAWRENCE WILEY","","","","","","4 BRIMSTONE HILL RD STE 7","","EPSOM","03234","US","NH","","","","","SALISBURY","Merrimack"
"NH0604010","WILDS OF NEW ENGLAND","Y","NH","01","06-01","10-31","A","","TNCWS","","","GW","","P","210","1","1","1","1","2","State","GW","Y","N","N","14","Y","WILDS CHRISTIAN ASSN INC","ROLAND BOUGIE","","","","","","1181 DEERING CENTER RD","","DEERFIELD","03244","US","NH","","","","","DEERING","Hillsborough"
"NH0605010","ROBIN HILL FARM/BLUE HOUSE","Y","NH","01","01-01","12-31","A","","NTNCWS","","","GW","","P","25","1","1","1","1","1","State","GW","Y","N","N","1","Y","ROBIN HILL FARM INC","JEREMIAH DONOVAN","","","","","","PO BOX 1067","","HILLSBOROUGH","03244","US","NH","","","","","DEERING","Hillsborough"
"NH0611010","DERRY WATER DEPT","Y","NH","01","","","A","","CWS","","","SW","","L","17200","2","2","2","4","6","State","SWP","Y","N","N","4233","Y","TOWN OF DERRY","THOMAS CARRIER","","","","","","DEPARTMENT OF PUBLIC WORKS","14 MANNING ST","DERRY","03038","US","NH","","","","","DERRY","Rockingham"
"NH0612050","MORNINGSIDE DRIVE","Y","NH","01","","","A","","CWS","","","GW","","P","80","1","1","1","1","1","State","GW","Y","N","N","32","Y","MORNINGSIDE DRIVE WATER ASSN","DAVID STRATTON","","","","","","13 MORNINGSIDE DR","","DERRY","03038","US","NH","","","","","DERRY","Rockingham"
"NH2075010","SANT BANI SCHOOL UPPER BLDG","Y","NH","01","09-01","06-30","A","","NTNCWS","","","GW","","P","60","1","1","1","1","1","State","GW","Y","N","Y","2","Y","PUMP SYSTEMS INC","LAURA DEFAZIO","","","","","","PO BOX 269","","FRANKLIN","03235","US","NH","","","","","SANBORNTON","Belknap"
"NH2075030","SANT BANI SCHOOL MIDDLE BLDG","Y","NH","01","09-01","06-30","A","","NTNCWS","","","GW","","P","120","1","1","1","1","2","State","GW","Y","N","Y","1","Y","PUMP SYSTEMS INC","LAURA DEFAZIO","","","","","","PO BOX 269","","FRANKLIN","03235","US","NH","","","","","SANBORNTON","Belknap"
"NH2077030","DEN BRAE GOLF COURSE","Y","NH","01","04-01","11-30","A","","TNCWS","","","GW","","P","75","1","1","1","1","1","State","GW","Y","N","N","1","Y","DEN BRAE GOLF COURSE INC","EDWARD CRAIG JR","","","","","","80 PRESCOTT RD","","SANBORNTON","03269","US","NH","","","","","SANBORNTON","Belknap"
"NH2077080","OSBORNE COTTAGES","Y","NH","01","05-01","09-30","A","","TNCWS","","","GW","","P","45","1","1","1","1","1","State","GW","Y","N","N","18","Y","OSBORNE COTTAGES LLC","THOMAS DOYLE","","","","","","22 HICKORY LN","","DANVILLE","03819","US","NH","","","","","SANBORNTON","Belknap"
"NH2078010","STEELE HILL RESORT","Y","NH","01","01-01","12-31","A","","NTNCWS","","","GW","","P","60","1","1","1","1","1","State","GW","Y","N","N","200","Y","EASTMAN HILL ENTERPRISES INC","WILLIAM CUTILLO","","","","","","516 STEELE HILL RD","","SANBORNTON","03269","US","NH","","","","","SANBORNTON","Belknap"
"NH2078020","SANBORNTON GENERAL STORE","Y","NH","01","01-01","12-31","A","","TNCWS","","","GW","","P","40","1","1","1","1","1","State","GW","Y","N","N","1","Y","IQRA LLC","SARFRAZ CHAUDHARY","","","","","","666 NEW HAMPTON RD","","SANBORNTON","03269","US","NH","","","","","SANBORNTON","Belknap"
"NH2078030","HERITAGE FARM/PANCAKE HOUSE","Y","NH","01","01-01","12-31","A","","TNCWS","","","GW","","P","40","1","1","1","1","1","State","GW","Y","N","N","4","Y","","MATTHEW SWAIN","","","","","","15 PARKER HILL RD","","SANBORNTON","03269","US","NH","","","","","SANBORNTON","Belknap"
"NH2082030","REEDS CROSSING","Y","NH","01","","","A","","CWS","","","GW","","P","40","1","1","1","1","1","State","GW","Y","N","N","16","Y","REEDS CROSSING CONDOMINIUM ASSN","ANTHONY VITONE","","","","","","38 ALLEN ST UT 3B","","SANDOWN","03873","US","NH","","","","","SANDOWN","Rockingham"
"NH2082040","PINE ACRES CONDOS","Y","NH","01","","","A","","CWS","","","GW","","P","90","1","1","1","1","1","State","GW","Y","N","N","36","Y","AVATAR PROPERTIES","MARY DONNELLY","","","","","","163 MAIN ST  STE 201","","SALEM","03079","US","NH","","","","","SANDOWN","Rockingham"
"NH0967010","AUTO ROAD LODGE","Y","NH","01","01-01","12-31","A","","TNCWS","","","GW","","P","500","1","1","1","1","2","State","GW","Y","N","N","5","Y","MT WASHINGTON SUMMIT ROAD CO","HOWARD WEMYSS","","","","","","PO BOX 278","","GORHAM","03581","US","NH","","","","","GREENS GRANT","Coos"
"NH0977020","BARBARA C HARRIS CAMP/CONF CTR","Y","NH","01","01-01","12-31","A","","TNCWS","","","GW","","P","320","1","1","1","1","2","State","GW","Y","N","N","34","Y","BARBARA C HARRIS CONFERENCE CENTER","JOHN KOCH","","","","","","PO BOX 204","","GREENFIELD","03047","US","NH","","","","","GREENFIELD","Hillsborough"
"NH0851010","FRANKLIN WATER WORKS","Y","NH","01","","","A","","CWS","","","GW","","L","7000","1","2","1","3","5","State","GW","Y","N","N","2422","Y","CITY OF FRANKLIN","JUSTIN HANSCOM","","","","","","43 W BOW ST","","FRANKLIN","03235","US","NH","","","","","FRANKLIN","Merrimack"
"NH0858020","WEBSTER LAKE INN","Y","NH","01","01-01","12-31","A","","TNCWS","","","GW","","P","29","1","1","1","1","1","State","GW","Y","N","N","6","Y","SEO PROPERTIES LLC","SUSAN OLIVERI","","","","","","PO BOX 129","","NORTH SUTTON","03260","US","NH","","","","","FRANKLIN","Merrimack"
"NH0861010","FREEDOM VILLAGE WATER PRECINCT","Y","NH","01","","","A","","CWS","","","GW","","L","163","1","1","1","1","2","State","GW","Y","N","N","67","Y","FREEDOM VILLAGE WATER PRECINCT","BARRY KEITH","","","","","","PO BOX 85","","FREEDOM","03836","US","NH","","","","","FREEDOM","Carroll"
"NH0862010","LOV WATER","Y","NH","01","","","A","","CWS","","","GW","","P","590","1","1","1","2","3","State","GW","Y","N","N","236","Y","LAKES REGION WATER COMPANY INC","THOMAS MASON JR","","","","","","PO BOX 389","","MOULTONBOROUGH","03254","US","NH","","","","","FREEDOM","Carroll"
